correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered,threshold_exponent,t_sub_max,compared_with,exp_with,ground_truth_type
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_delta_t,13,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_ratio,13,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_choose_top_3_delta_t,14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_filter_by_smallest_ratio,14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_choose_top_3_ratio,14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_filter_by_smallest_delta_t,14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_ratio_and_filter_by_smallest_t_sub,14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_t_sub_and_choose_top_3_t_sub,14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_delta_t,14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_ratio,14,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_choose_top_3_delta_t,15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_filter_by_smallest_ratio,15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_choose_top_3_ratio,15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_filter_by_smallest_delta_t,15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_ratio_and_filter_by_smallest_t_sub,15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_t_sub_and_choose_top_3_t_sub,15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_delta_t,15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_ratio,15,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_choose_top_3_delta_t,16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_filter_by_smallest_ratio,16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_choose_top_3_ratio,16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_filter_by_smallest_delta_t,16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_ratio_and_filter_by_smallest_t_sub,16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_t_sub_and_choose_top_3_t_sub,16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_delta_t,16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_ratio,16,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_choose_top_3_delta_t,17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_filter_by_smallest_ratio,17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_choose_top_3_ratio,17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_filter_by_smallest_delta_t,17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_ratio_and_filter_by_smallest_t_sub,17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_t_sub_and_choose_top_3_t_sub,17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_delta_t,17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_ratio,17,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_choose_top_3_delta_t,18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_filter_by_smallest_ratio,18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_choose_top_3_ratio,18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_ratio_and_filter_by_smallest_delta_t,18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_ratio_and_filter_by_smallest_t_sub,18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_t_sub_and_choose_top_3_t_sub,18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_delta_t,18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_t_sub_and_filter_by_smallest_ratio,18,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_choose_top_3_delta_t,19,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.2177134968060663,"[0.0, 0.3999106040278247, 0.3816546312909755, 0.4879664458699486, 0.4914197970471735, 0.8684624752413213, 1.0, 0.4518980864319832, 0.4460782730908759, 0.6956818396454797, 0.380746294503397, 0.5330946233124197, 0.2969763494938544]",0.4749026573907806,Smallest_delta_t_and_filter_by_smallest_ratio,19,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
0.1602290304155124,"[0.0, 0.1980280298197536, 0.7766366629595488, 0.9929727064355665, 1.0, 0.4971282622410162, 0.6327472813450475, 0.9195764784962532, 0.9077336236172328, 0.3788537826313499, 0.7747882702146156, 0.2796681186349656, 0.6043231291826576]",0.6010421114161224,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),19,10**7,0.02,Ranking Order,Intervals,Intervals - Ranking Order
