correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered,threshold_exponent,compared_with,exp_with,ground_truth_type
-0.2359434428733482,"[0.2206911126328276, 0.5748078433052739, 0.6891184319563401, 0.9902192720105244, 1.0, 0.3000930393019634, 0.4888503075011268, 0.888064931317937, 0.8715818086009941, 0.1354762487051165, 0.6865458018975347, 0.0, 0.4672372955378849]",0.4377236168504334,Smallest_t_sub_and_choose_top_3_t_sub,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3492789634945749,"[0.0, 0.5900189950864423, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.2420983388625618,Smallest_t_sub_and_filter_by_smallest_delta_t,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3071775638210323,"[0.0, 0.5435635673869731, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.3072988448052817,Smallest_t_sub_and_filter_by_smallest_ratio,9,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_delta_t_and_choose_top_3_delta_t,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_delta_t_and_filter_by_smallest_ratio,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.0800868877635344,"[0.085515889711805, 0.6074859457276514, 0.5555979520530381, 0.8577624459381494, 0.8675777248401814, 0.1651983076723946, 0.3546223703959415, 0.7552472399095373, 0.738705889734244, 0.0, 0.5530162340494195, 1.0, 0.3329330093830974]",0.794803125447855,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_ratio_and_choose_top_3_ratio,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_ratio_and_filter_by_smallest_delta_t,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.1036039231751236,"[0.0709296970194069, 1.0, 0.4608312506194373, 0.7114564393828626, 0.7195975551571162, 0.1370209203320045, 0.2941354802394784, 0.626426949214467, 0.6127070082750756, 0.0, 0.4586898886292464, 0.8294329540211225, 0.2761456094637646]",0.7362539345347291,Smallest_ratio_and_filter_by_smallest_t_sub,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.2359434428733482,"[0.2206911126328276, 0.5748078433052739, 0.6891184319563401, 0.9902192720105244, 1.0, 0.3000930393019634, 0.4888503075011268, 0.888064931317937, 0.8715818086009941, 0.1354762487051165, 0.6865458018975347, 0.0, 0.4672372955378849]",0.4377236168504334,Smallest_t_sub_and_choose_top_3_t_sub,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3492789634945749,"[0.0, 0.5900189950864423, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.2420983388625618,Smallest_t_sub_and_filter_by_smallest_delta_t,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3071775638210323,"[0.0, 0.5435635673869731, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.3072988448052817,Smallest_t_sub_and_filter_by_smallest_ratio,10,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_delta_t_and_choose_top_3_delta_t,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_delta_t_and_filter_by_smallest_ratio,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.0800868877635344,"[0.085515889711805, 0.6074859457276514, 0.5555979520530381, 0.8577624459381494, 0.8675777248401814, 0.1651983076723946, 0.3546223703959415, 0.7552472399095373, 0.738705889734244, 0.0, 0.5530162340494195, 1.0, 0.3329330093830974]",0.794803125447855,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_ratio_and_choose_top_3_ratio,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_ratio_and_filter_by_smallest_delta_t,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.1036039231751236,"[0.0709296970194069, 1.0, 0.4608312506194373, 0.7114564393828626, 0.7195975551571162, 0.1370209203320045, 0.2941354802394784, 0.626426949214467, 0.6127070082750756, 0.0, 0.4586898886292464, 0.8294329540211225, 0.2761456094637646]",0.7362539345347291,Smallest_ratio_and_filter_by_smallest_t_sub,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.2359434428733482,"[0.2206911126328276, 0.5748078433052739, 0.6891184319563401, 0.9902192720105244, 1.0, 0.3000930393019634, 0.4888503075011268, 0.888064931317937, 0.8715818086009941, 0.1354762487051165, 0.6865458018975347, 0.0, 0.4672372955378849]",0.4377236168504334,Smallest_t_sub_and_choose_top_3_t_sub,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3492789634945749,"[0.0, 0.5900189950864423, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.2420983388625618,Smallest_t_sub_and_filter_by_smallest_delta_t,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3071775638210323,"[0.0, 0.5435635673869731, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.3072988448052817,Smallest_t_sub_and_filter_by_smallest_ratio,11,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_delta_t_and_choose_top_3_delta_t,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_delta_t_and_filter_by_smallest_ratio,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.0800868877635344,"[0.085515889711805, 0.6074859457276514, 0.5555979520530381, 0.8577624459381494, 0.8675777248401814, 0.1651983076723946, 0.3546223703959415, 0.7552472399095373, 0.738705889734244, 0.0, 0.5530162340494195, 1.0, 0.3329330093830974]",0.794803125447855,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_ratio_and_choose_top_3_ratio,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_ratio_and_filter_by_smallest_delta_t,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.1036039231751236,"[0.0709296970194069, 1.0, 0.4608312506194373, 0.7114564393828626, 0.7195975551571162, 0.1370209203320045, 0.2941354802394784, 0.626426949214467, 0.6127070082750756, 0.0, 0.4586898886292464, 0.8294329540211225, 0.2761456094637646]",0.7362539345347291,Smallest_ratio_and_filter_by_smallest_t_sub,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.2359434428733482,"[0.2206911126328276, 0.5748078433052739, 0.6891184319563401, 0.9902192720105244, 1.0, 0.3000930393019634, 0.4888503075011268, 0.888064931317937, 0.8715818086009941, 0.1354762487051165, 0.6865458018975347, 0.0, 0.4672372955378849]",0.4377236168504334,Smallest_t_sub_and_choose_top_3_t_sub,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3492789634945749,"[0.0, 0.5900189950864423, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.2420983388625618,Smallest_t_sub_and_filter_by_smallest_delta_t,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3071775638210323,"[0.0, 0.5435635673869731, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.3072988448052817,Smallest_t_sub_and_filter_by_smallest_ratio,12,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_delta_t_and_choose_top_3_delta_t,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_delta_t_and_filter_by_smallest_ratio,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.0800868877635344,"[0.085515889711805, 0.6074859457276514, 0.5555979520530381, 0.8577624459381494, 0.8675777248401814, 0.1651983076723946, 0.3546223703959415, 0.7552472399095373, 0.738705889734244, 0.0, 0.5530162340494195, 1.0, 0.3329330093830974]",0.794803125447855,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_ratio_and_choose_top_3_ratio,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_ratio_and_filter_by_smallest_delta_t,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.1036039231751236,"[0.0709296970194069, 1.0, 0.4608312506194373, 0.7114564393828626, 0.7195975551571162, 0.1370209203320045, 0.2941354802394784, 0.626426949214467, 0.6127070082750756, 0.0, 0.4586898886292464, 0.8294329540211225, 0.2761456094637646]",0.7362539345347291,Smallest_ratio_and_filter_by_smallest_t_sub,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.2359434428733482,"[0.2206911126328276, 0.5748078433052739, 0.6891184319563401, 0.9902192720105244, 1.0, 0.3000930393019634, 0.4888503075011268, 0.888064931317937, 0.8715818086009941, 0.1354762487051165, 0.6865458018975347, 0.0, 0.4672372955378849]",0.4377236168504334,Smallest_t_sub_and_choose_top_3_t_sub,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3492789634945749,"[0.0, 0.5900189950864423, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.2420983388625618,Smallest_t_sub_and_filter_by_smallest_delta_t,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3071775638210323,"[0.0, 0.5435635673869731, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.3072988448052817,Smallest_t_sub_and_filter_by_smallest_ratio,13,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_delta_t_and_choose_top_3_delta_t,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_delta_t_and_filter_by_smallest_ratio,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.0800868877635344,"[0.085515889711805, 0.6074859457276514, 0.5555979520530381, 0.8577624459381494, 0.8675777248401814, 0.1651983076723946, 0.3546223703959415, 0.7552472399095373, 0.738705889734244, 0.0, 0.5530162340494195, 1.0, 0.3329330093830974]",0.794803125447855,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_ratio_and_choose_top_3_ratio,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_ratio_and_filter_by_smallest_delta_t,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.1036039231751236,"[0.0709296970194069, 1.0, 0.4608312506194373, 0.7114564393828626, 0.7195975551571162, 0.1370209203320045, 0.2941354802394784, 0.626426949214467, 0.6127070082750756, 0.0, 0.4586898886292464, 0.8294329540211225, 0.2761456094637646]",0.7362539345347291,Smallest_ratio_and_filter_by_smallest_t_sub,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.2359434428733482,"[0.2206911126328276, 0.5748078433052739, 0.6891184319563401, 0.9902192720105244, 1.0, 0.3000930393019634, 0.4888503075011268, 0.888064931317937, 0.8715818086009941, 0.1354762487051165, 0.6865458018975347, 0.0, 0.4672372955378849]",0.4377236168504334,Smallest_t_sub_and_choose_top_3_t_sub,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3492789634945749,"[0.0, 0.5900189950864423, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.2420983388625618,Smallest_t_sub_and_filter_by_smallest_delta_t,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3071775638210323,"[0.0, 0.5435635673869731, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.3072988448052817,Smallest_t_sub_and_filter_by_smallest_ratio,14,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_delta_t_and_choose_top_3_delta_t,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_delta_t_and_filter_by_smallest_ratio,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.0800868877635344,"[0.085515889711805, 0.6074859457276514, 0.5555979520530381, 0.8577624459381494, 0.8675777248401814, 0.1651983076723946, 0.3546223703959415, 0.7552472399095373, 0.738705889734244, 0.0, 0.5530162340494195, 1.0, 0.3329330093830974]",0.794803125447855,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_ratio_and_choose_top_3_ratio,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_ratio_and_filter_by_smallest_delta_t,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.1036039231751236,"[0.0709296970194069, 1.0, 0.4608312506194373, 0.7114564393828626, 0.7195975551571162, 0.1370209203320045, 0.2941354802394784, 0.626426949214467, 0.6127070082750756, 0.0, 0.4586898886292464, 0.8294329540211225, 0.2761456094637646]",0.7362539345347291,Smallest_ratio_and_filter_by_smallest_t_sub,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.2359434428733482,"[0.2206911126328276, 0.5748078433052739, 0.6891184319563401, 0.9902192720105244, 1.0, 0.3000930393019634, 0.4888503075011268, 0.888064931317937, 0.8715818086009941, 0.1354762487051165, 0.6865458018975347, 0.0, 0.4672372955378849]",0.4377236168504334,Smallest_t_sub_and_choose_top_3_t_sub,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3492789634945749,"[0.0, 0.5900189950864423, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.2420983388625618,Smallest_t_sub_and_filter_by_smallest_delta_t,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3071775638210323,"[0.0, 0.5435635673869731, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.3072988448052817,Smallest_t_sub_and_filter_by_smallest_ratio,15,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_delta_t_and_choose_top_3_delta_t,16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_delta_t_and_filter_by_smallest_ratio,16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.0800868877635344,"[0.085515889711805, 0.6074859457276514, 0.5555979520530381, 0.8577624459381494, 0.8675777248401814, 0.1651983076723946, 0.3546223703959415, 0.7552472399095373, 0.738705889734244, 0.0, 0.5530162340494195, 1.0, 0.3329330093830974]",0.794803125447855,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_ratio_and_choose_top_3_ratio,16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_ratio_and_filter_by_smallest_delta_t,16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.1036039231751236,"[0.0709296970194069, 1.0, 0.4608312506194373, 0.7114564393828626, 0.7195975551571162, 0.1370209203320045, 0.2941354802394784, 0.626426949214467, 0.6127070082750756, 0.0, 0.4586898886292464, 0.8294329540211225, 0.2761456094637646]",0.7362539345347291,Smallest_ratio_and_filter_by_smallest_t_sub,16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
-0.2359434428733482,"[0.2206911126328276, 0.5748078433052739, 0.6891184319563401, 0.9902192720105244, 1.0, 0.3000930393019634, 0.4888503075011268, 0.888064931317937, 0.8715818086009941, 0.1354762487051165, 0.6865458018975347, 0.0, 0.4672372955378849]",0.4377236168504334,Smallest_t_sub_and_choose_top_3_t_sub,16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3492789634945749,"[0.0, 0.5900189950864423, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.2420983388625618,Smallest_t_sub_and_filter_by_smallest_delta_t,16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.3071775638210323,"[0.0, 0.5435635673869731, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.3072988448052817,Smallest_t_sub_and_filter_by_smallest_ratio,16,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2653312978732588,"[0.0, 0.7934947596239816, 0.3371136357241412, 0.2175240057198941, 0.3809660882462108, 0.7550323030439452, 0.3384152373440157, 0.3877727292450476, 0.3064210121088461, 1.0, 0.308808978659137, 0.979271738973244, 0.2073331034952672]",0.3809595871154996,Smallest_delta_t_and_choose_top_3_delta_t,17,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_delta_t_and_filter_by_smallest_ratio,17,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.0800868877635344,"[0.085515889711805, 0.6074859457276514, 0.5555979520530381, 0.8577624459381494, 0.8675777248401814, 0.1651983076723946, 0.3546223703959415, 0.7552472399095373, 0.738705889734244, 0.0, 0.5530162340494195, 1.0, 0.3329330093830974]",0.794803125447855,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),17,10**1,Ranking Order,Intervals,Intervals - Ranking Order
0.2201680284413515,"[0.0, 0.7700954090470632, 0.2620012056371082, 0.2211095699012087, 0.3108226308997879, 0.7272747264775701, 0.392431216437034, 0.3184005403598656, 0.2278307649030224, 1.0, 0.230489314739115, 0.9769229954462912, 0.1175150893458012]",0.469812313930038,Smallest_ratio_and_choose_top_3_ratio,17,10**1,Ranking Order,Intervals,Intervals - Ranking Order
